"filename", "language", "Python", "JSON with Comments", "Markdown", "SCSS", "JSON", "HTML", "JavaScript", "Properties", "YAML", "comment", "blank", "total"
"c:\Repos\pf2lootgen\README.md", "Markdown", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 34, 112
"c:\Repos\pf2lootgen\db\items.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Repos\pf2lootgen\db\items_test.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Repos\pf2lootgen\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 21
"c:\Repos\pf2lootgen\front\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Repos\pf2lootgen\front\.eslintrc.json", "JSON with Comments", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Repos\pf2lootgen\front\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Repos\pf2lootgen\front\package-lock.json", "JSON", 0, 0, 0, 0, 31870, 0, 0, 0, 0, 0, 1, 31871
"c:\Repos\pf2lootgen\front\package.json", "JSON", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 1, 50
"c:\Repos\pf2lootgen\front\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 23, 1, 44
"c:\Repos\pf2lootgen\front\public\manifest.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Repos\pf2lootgen\front\src\App.js", "JavaScript", 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 4, 37
"c:\Repos\pf2lootgen\front\src\App.scss", "SCSS", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Repos\pf2lootgen\front\src\App.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Repos\pf2lootgen\front\src\Components\BoxWithScrollbar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 3, 24
"c:\Repos\pf2lootgen\front\src\Components\CustomTextField.js", "JavaScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 5, 14
